langcode,title,field_a2zpublisher,field_a2zsubject,field_a2zurl,field_author,field_isbn,field_vol,field_year
,Provenance Data in Social Media,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-01904-3,"Geoffrey Barbier, Zhuo Feng, Pritam Gundecha, Huan Liu",9783031019043,,2013
,Providing Sound Foundations for Cryptography: On the Work of Shafi Goldwasser and Silvio Micali,Association for Computing Machinery,Cryptography,https://dl.acm.org/citation.cfm?id=3335741,Oded Goldreich,9781450372688,,2019
,Proxemic Interactions,Synthesis Collection of Technology (R0),"Computing and Processing, General Topics for Engineers",https://doi.org/10.1007/978-3-031-02208-1,"Nicolai Marquardt, Saul Greenberg",9783031022081,,2015
,Proximal Flows,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0080139,Shmuel Glasner,9783540382249,517,1976
,Proximity and Epidata,Synthesis Collection of Technology (R0),Library Science,https://doi.org/10.1007/978-3-031-17094-2,"Laurie J. Bonnici, Brian C. O'Connor",9783031170942,,2022
,Pseudo Differential Operators,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0101246,Michael Taylor,9783540372660,416,1974
,Pseudo-Boolean Methods for Bivalent Programming,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0077204,"P. L. Ivănescu, S. Rudeanu",9783540348351,23,1966
,Pseudo-Boolean Programming and Applications,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0073938,Petru L. Ivănescu,9783540371366,9,1965
,Pseudo-Differential Operators,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0077734,"Heinz O. Cordes, Bernhard Gramsch, Harold Widom",9783540478867,1256,1987
,Pseudo-differential Operators and the Nash-Moser Theorem,American Mathematical Society,Mathematics,https://www.ams.org/books/gsm/082/,Serge Alinhac; Patrick Gerard,9781470421120, ,2007
,PSpice for Analog Communications Engineering,Synthesis Collection of Technology (R0),"Components, Circuits, Devices and Systems",https://doi.org/10.1007/978-3-031-79761-3,Paul Tobin,9783031797613,,2007
,PSpice for Circuit Theory and Electronic Devices,Synthesis Collection of Technology (R0),"Components, Circuits, Devices and Systems",https://doi.org/10.1007/978-3-031-79755-2,Paul Tobin,9783031797552,,2007
,PSpice for Digital Communications Engineering,Synthesis Collection of Technology (R0),"Components, Circuits, Devices and Systems",https://doi.org/10.1007/978-3-031-79758-3,Paul Tobin,9783031797583,,2007
,PSpice for Digital Signal Processing,Synthesis Collection of Technology (R0),"Components, Circuits, Devices and Systems",https://doi.org/10.1007/978-3-031-79767-5,Paul Tobin,9783031797675,,2007
,PSpice for Filters and Transmission Lines,Synthesis Collection of Technology (R0),"Components, Circuits, Devices and Systems",https://doi.org/10.1007/978-3-031-79764-4,Paul Tobin,9783031797644,,2007
,Psychoanalytic Aspects of Fieldwork,SAGE Publications Ltd,"Fieldwork, Psychological aspects",https://doi.org/10.4135/9781412985505,Jennifer C. Hunt,9781412985505,,1989
,Psychological Testing,SAGE Publications Ltd,Psychological tests,https://doi.org/10.4135/9781483385693,Theresa J.B. Kline,9781483385693,,2005
,Psychological Testing in Everyday Life,SAGE Publications Ltd,Psychological Testing,https://doi.org/10.4135/9781071802830,Bai,9781071802830,,2019
,Psychology and Your Life with P.O.W.E.R Learning,McGraw Hill,"Neuroscience, Cognition",https://resolver.vitalsource.com/9781264882618,Robert S Feldman,9781266224119,2nd ed.,2024
,Public Health Research Methods,SAGE Publications Ltd,"Public health, Research",https://doi.org/10.4135/9781483398839,Greg Guest; Emily E. Namey,9781483398839,,2015
,Public Information Campaigns and Opinion Research,SAGE Publications Ltd,Political campaigns,https://doi.org/10.4135/9780857024534,Andrea Römmele; Hans-Dieter Klingemann,9780857024534,,2002
,Public Transport Optimization,Springer Nature,Social Sciences,https://doi.org/10.1007/978-3-031-12444-0,Konstantinos Gkiotsalitis,9783031124440,,2022
,Public-Key Cryptography – PKC 2020,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-45374-9,"Aggelos Kiayias, Markulf Kohlweiss, Petros Wallden, Vassilis Zikas",9783030453749,,2020
,Public-Key Cryptography – PKC 2020,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-45388-6,"Aggelos Kiayias, Markulf Kohlweiss, Petros Wallden, Vassilis Zikas",9783030453886,,2020
,Public-Key Cryptography: State of the Art and Future Directions,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-55215-4,"Thomas Beth, Markus Frisch, Gustavus J. Simmons",9783540467809,578,1992
,Publishing and Using Cultural Heritage Linked Data on the Semantic Web,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-79438-4,Eero Hyvonen,9783031794384,,2012
,Publishing Journal Articles,SAGE Publications Ltd,Technical writing,https://doi.org/10.4135/9781446288139,Pam Denicolo; Lucinda Becker,9781446288139,,2012
,Purdey se Piccadily tak,SAGE,"Women's Studies, Cross Cultural Psychology & Diversity",https://evidya.sagepub.in/library/purdey-se-piccadily-tak?bookId=4076&siteName=evidya,Zarina Bhatty,,,2018
,Python and Matplotlib Essentials for Scientists and Engineers,Institute of Physics Publishing ,"Physcis , Mathematics and computation",https://iopscience.iop.org/book/978-1-6270-5620-5,"Wood, M A",9781627056199,,2015
,Python For Everyone,Wiley India,Engineering,https://ebooks.wileyindia.com/product-details/476850,"Cay S. Horstmann, Rance D. Necaise",9789357469258,3rd ed.,2024
,Q Methodology,SAGE Publications Ltd,Q Methodology,https://doi.org/10.4135/9781412985512,Bruce McKeown; Dan B. Thomas,9781412985512,,1988
,Q Methodology,SAGE Publications Ltd,Q Methodology,https://doi.org/10.4135/9781483384412,Bruce McKeown; Dan B. Thomas,9781483384412,2nd ed.,2013
,QCD: Renormalization for the Practitioner,Springer,Physics,http://dx.doi.org/10.1007/3-540-12908-1,"P. Pascual, R. Tarrach",9783540387879,194,1984
,QED: A Proof of Renormalizability,Springer,Physics,http://dx.doi.org/10.1007/3-540-50213-0,"Joel S. Feldman, Thomas R. Hurd, Lon Rosen, Jill D. Wright",9783540459538,312,1988
,QoS Routing Algorithms for Wireless Sensor Networks,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-15-2720-3,"K. R. Venugopal, Shiv Prakash T., M. Kumaraswamy",9789811527203,,2020
,Quadratic Forms Over Semilocal Rings,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0070341,Ricardo Baeza,9783540358169,655,1978
,Quadrature Domains,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0095892,Makoto Sakai,9783540392576,934,1982
,Qualitative and Mixed Methods in Public Health,SAGE Publications Ltd,"Qualitative research, Methodology",https://doi.org/10.4135/9781483384511,Deborah K. Padgett,9781483384511,,2012
,Qualitative Comparative Analysis in Mixed Methods Research and Evaluation,SAGE Publications Ltd,Research methods,https://doi.org/10.4135/9781506390239,Leila Kahwati,9781506390239,,2020
,Qualitative Data Analysis Using a Dialogical Approach,SAGE Publications Ltd,"Qualitative research, Methodology",https://doi.org/10.4135/9781446268391,Paul Sullivan,9781446268391,,2012
,Qualitative Dissertation Methodology,SAGE Publications Ltd,Research Methodology,https://doi.org/10.4135/9781506345147,Nathan Durdella,9781506345147,,2019
,Qualitative Evaluation,SAGE Publications Ltd,"Évaluation, Méthodologie",https://doi.org/10.4135/9781849209618,Ian Shaw,9781849209618,,1999
,Qualitative GIS,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9780857024541,Meghan Cope; Sarah Elwood,9780857024541,,2009
,Qualitative HCI Research,Synthesis Collection of Technology (R0),"Computing and Processing, General Topics for Engineers",https://doi.org/10.1007/978-3-031-02217-3,"Ann Blandford, Dominic Furniss, Stephann Makri",9783031022173,,2016
,Qualitative Inquiry,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781526435408,Lynn Butler-Kisber,9781526435408,,2010
,Qualitative Inquiry,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781526417978,Lynn Butler-Kisber,9781526485632,2nd ed.,2018
,Qualitative Inquiry in Everyday Life,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781473913905,Svend Brinkmann,9781473913905,,2012
,Qualitative Inquiry Reader,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781412986267,Norman K. Denzin; Yvonna S Lincoln,9781412986267,,2001
,Qualitative Interviewing,SAGE Publications Ltd,Interviewing,https://doi.org/10.4135/9781452226651,Irene S. Rubin; Herbert J. Rubin,9781452226651,2nd ed.,2005
,Qualitative Journeys,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781452272078,Jeffrey A. Kottler; Victor Minichiello,9781452272078,,2009
,Qualitative Longitudinal Methods,SAGE Publications Ltd,"Qualitative research, Methodology",https://doi.org/10.4135/9781071814277,Goldfinger,9781071814277,,2019
,Qualitative Market Research,SAGE Publications Ltd,Marketing research,https://doi.org/10.4135/9781412985529,Hy Mariampolski,9781412985529,,2001
,Qualitative Marketing Research,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781849209625,David Carson; Audrey Gilmore; Kjell Gronhaug; Chad Perry,9781849209625,,2001
,Qualitative Marketing Research,SAGE Publications Ltd,Marketing research,https://doi.org/10.4135/9781849209632,Anu Valtonen; Johanna Moisander,9781849209632,,2006
,Qualitative Marketing Research,Taylor & Francis,"Economics, Finance, Business & Industry, Business, Management and Marketing, Qualitative Methods",www.taylorfrancis.com/books/9780429467028,"Maison , Dominika",9780429467028,,2018
,Qualitative Media Analysis,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781412985536,David L. Altheide,9781412985536,,1996
,Qualitative Media Analysis,SAGE Publications Ltd,Media Analysis,https://doi.org/10.4135/9781452270043,David L. Altheide; Christopher J. Schneider,9781452270043,2nd ed.,2013
,Qualitative Methodology,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781473920163,Jane Mills; Melanie Birks,9781473920163,,2014
,Qualitative Methods for Marketplace Research,SAGE Publications Ltd,"Marketing research, Methodology",https://doi.org/10.4135/9781412985543,Shay Sayre,9781412985543,,2001
,Qualitative Methods in Business Research,SAGE Publications Ltd,"Business, Research",https://doi.org/10.4135/9780857028044,Päivi Eriksson; Anne Kovalainen,9780857028044,,2008
,Qualitative Nursing Research,SAGE Publications Ltd,"Nursing, Research ",https://doi.org/10.4135/9781483349015,Janice M. Morse,9781483349015,,1990
,Qualitative Representation of Spatial Knowledge,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0020328,Daniel Hernández,9783540484257,804,1994
,Qualitative Research and Hypermedia,SAGE Publications Ltd,"Ethnology, Research",https://doi.org/10.4135/9781849209649,Paul Atkinson; Bella Dicks; Bruce Mason; Amanda Coffey,9781849209649,,2006
,Qualitative Research and Theory Development,SAGE Publications Ltd,"Social sciences, Research",https://doi.org/10.4135/9781446287859,Dan Karreman; Mats Alvesson,9781446287859,,2011
,Qualitative Research for the Social Sciences,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781544307756,Marilyn Lichtman,9781544307756,,2014
,Qualitative Research in Action,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781849209656,Tim May,9781849209656,,2002
,Qualitative Research in Counselling and Psychotherapy,SAGE Publications Ltd,"Counseling,  Research",https://doi.org/10.4135/9781849209663,John McLeod,9781849209663,,2001
,Qualitative Research in Education,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781849209670,Peter R Freebody,9781849209670,,2003
,Qualitative Research in Education,SAGE Publications Ltd,"Education,  Research",https://doi.org/10.4135/9781473957602,Susan Wallace; Liz Atkins,9781473957602,,2012
,Qualitative Research in Information Systems,SAGE Publications Ltd,"Qualitative research, Methodology",https://doi.org/10.4135/9781849209687,David Avison; Michael D Myers,9781849209687,,2002
,Qualitative Research in Social Work,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781849209694,Nick Gould; Ian Shaw,9781849209694,,2002
,Qualitative Research in Sociology,SAGE Publications Ltd,"Sociology, Research",https://doi.org/10.4135/9781849209700,Amir Marvasti,9781849209700,,2004
,Qualitative Research Interviewing,SAGE Publications Ltd,"Social sciences, Research",https://doi.org/10.4135/9781849209717,Tom Wengraf,9781849209717,,2001
,Qualitative Research Practice,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781848608191,David Silverman; Jaber F Gubrium; Giampietro Gobo; Clive Seale,9781848608191,,2004
,Qualitative Research through Case Studies,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781849209724,Max Travers,9781849209724,,2001
,Qualitative Researcher's Companion,SAGE Publications Ltd,"Qualitative research,  Methodology",https://doi.org/10.4135/9781412986274,Matthew B. Miles; Michael Huberman,9781412986274,,2002
,"Qualitative Researching with Text, Image and Sound",SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781849209731,George Gaskell; Martin W Bauer,9781849209731,,2000
,Qualitative Text Analysis,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781446288719,Udo Kuckartz,9781446288719,,2014
,Quality and Lean Six Sigma for Engineering Technicians,Synthesis Collection of Technology (R0),Industrial and Production Engineering,https://doi.org/10.1007/978-3-031-44033-5,Emre Tokgoz,9783031440335,,2024
,Quality Estimation for Machine Translation,Synthesis Collection of Technology (R0),"Computing and Processing, General Topics for Engineers",https://doi.org/10.1007/978-3-031-02168-8,"Lucia Specia, Carolina Scarton, Gustavo Henrique Paetzold",9783031021688,,2018
,Quality of Information and Communications Technology,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-58793-2,"Martin Shepperd, Fernando Brito e Abreu, Alberto Rodrigues da Silva, Ricardo Pérez-Castillo",9783030587932,,2020
,Quality of Life Research,SAGE Publications Ltd,"Quality of life, Research",https://doi.org/10.4135/9781849209748,Mark Rapley,9781849209748,,2003
,Quality of Qualitative Research,SAGE Publications Ltd,Qualitative reasoning,https://doi.org/10.4135/9780857020093,Clive Seale,9780857020093,,1999
,Quality of Service in Wireless Networks Over Unlicensed Spectrum,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02482-5,Klara Nahrstedt,9783031024825,,2012
,"Quality, Reliability, Security and Robustness in Heterogeneous Systems",Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-38819-5,"Xiaowen Chu, Hongbo Jiang, Bo Li, Dan Wang, Wei Wang",9783030388195,,2020
,Quantifying Measurement — The tyranny of numbers,Institute of Physics Publishing ,"Physcis , Instrumentation and measurement",https://iopscience.iop.org/book/978-1-6817-4433-9,"Williams, J H",9781681744322,,2016
,Quantifying Research Integrity,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02306-4,Michael Seadle,9783031023064,,2017
,Quantile Regression,SAGE Publications Ltd,Quantile Regression,https://doi.org/10.4135/9781412985550,Lingxin Hao; Daniel Q. Naiman,9781412985550,,2007
,Quantitative Core Level Photoelectron Spectroscopy — A primer,Institute of Physics Publishing ,"Physcis , Atomic and molecular physics",https://iopscience.iop.org/book/978-1-6270-5306-8,"Santana, J A C",9781627053051,,2014
,Quantitative Evaluation of Computing and Communication Systems,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0024302,"Heinz Beilner, Falko Bause",9783540447894,977,1995
,Quantitative Evaluation of Systems,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-59854-9,"Marco Gribaudo, David N. Jansen, Anne Remke",9783030598549,,2020
,Quantitative Geography,SAGE Publications Ltd,Geography,https://doi.org/10.4135/9781849209755,Martin Charlton; Chris Brunsdon; A Stewart Fotheringham,9781849209755,,2000
,Quantitative Narrative Analysis,SAGE Publications Ltd,Narrative Analysis,https://doi.org/10.4135/9781412993883,Roberto Franzosi,9781412993883,,2010
,Quantitative Neurophysiology,Synthesis Collection of Technology (R0),Bioengineering,https://doi.org/10.1007/978-3-031-01628-8,Joseph Tranquillo,9783031016288,,2009
,Quantitative Research in Education,SAGE Publications Ltd,Quantitative Research,https://doi.org/10.4135/9781452272061,Wayne K. Hoy,9781452272061,,2010
,Quantitative Social Research Methods,SAGE Publications Ltd,Quantitative Research,https://doi.org/10.4135/9789351507741,Kultar Singh,9789351507741,,2007
,Quantum Aspects of Optical Communications,Springer,Physics,http://dx.doi.org/10.1007/3-540-53862-3,"Cherif Bendjaballah, Osamu Hirota, Serge Reynaud",9783540463665,378,1991
,Quantum Chaos and Statistical Nuclear Physics,Springer,Physics,http://dx.doi.org/10.1007/3-540-17171-1,"T. H. Seligman, H. Nishioka",9783540472308,263,1986
,Quantum chemistry,Pearson,STEM,https://admin.elibrary.in.pearson.com/api/1.0/org/10032022/launchlibrary,"Levine, Ira N.",9789332585652,7th ed.,2016
,"Quantum Chemistry : A concise introduction for students of physics, chemistry, biochemistry and materials science",Institute of Physics Publishing ,"Physcis , Quantum science",https://iopscience.iop.org/book/978-1-627-05416-4,"Thakkar, A J",9781627054164,,2014
,"Quantum Chemistry : A concise introduction for students of physics, chemistry, biochemistry and materials science",Institute of Physics Publishing ,"Physcis , Quantum science",https://iopscience.iop.org/book/978-1-6817-4637-1,"Thakkar, A J",9781681746364,2nd ed.,2017
,Quantum Chemistry and Spectroscopy: Pearson New International Edition,Pearson Education,"Science, Science: Chemistry",https://ebookcentral.proquest.com/lib/iitdelhi/detail.action?docID=5186048,"Engel, Thomas",9781292052847,3rd ed.,2014
,Quantum Chromodynamics,Springer,Physics,http://dx.doi.org/10.1007/3-540-09969-7,"J. L. Alonso, R. Tarrach",9783540391906,118,1980
,Quantum Computation and Quantum Information: 10th Anniversary Edition,Cambridge University Press,"Computer Science,Cryptography, Cryptology and Coding,Physics and Astronomy,Quantum Physics and Quantum Information",https://doi.org/10.1017/CBO9780511976667,Nielsen,9780511976667,10th Anniv. Ed,2013
,Quantum Computer Science,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02512-9,"Marco Lanzagorta, Jeffrey Uhlmann",9783031025129,,2008
,Quantum Computer Systems,Synthesis Collection of Technology (R0),"Communication, Networking and Broadcast Technologies, Components, Circuits, Devices and Systems, Computing and Processing, Signal Processing and Analysis",https://doi.org/10.1007/978-3-031-01765-0,"Yongshan Ding, Frederic T. Chong",9783031017650,,2020
,Quantum Computing : A pathway to quantum logic design,Institute of Physics Publishing ,"Physcis , Quantum science",https://iopscience.iop.org/book/978-0-7503-2747-3,"Babu, H M H",9780750327459,,2020
,Quantum Computing for Computer Architects,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-01718-6,"Tzvetan S. Metodi, Frederic T. Chong",9783031017186,,2006
,Quantum Computing for Computer Architects,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-01731-5,"Tzvetan Metodi, Arvin I. Faruque",9783031017315,2nd ed.,2011
,Quantum Concepts in Physics,Cambridge University Press,"Physics and Astronomy, Quantum Physics, Quantum Information and Quantum Computation,History, Philosophy and Foundations of  Physics",https://doi.org/10.1017/CBO9781139062060,Longair,9781139062060,,2021
,Quantum Dynamical Semigroups and Applications,Springer,Physics,http://dx.doi.org/10.1007/3-540-18276-4,"Robert Alicki, Karl Lendi",9783540478553,286,1987
,Quantum Electron Liquids and High-Tc Superconductivity,Springer,Physics,http://dx.doi.org/10.1007/978-3-540-47678-8,"José González, Miguel A. Martín-Delgado, Germán Sierra, Angeles H. Vozmediano",9783540476788,38,1995
,Quantum Electronics,Wiley India,Engineering,https://ebooks.wileyindia.com/product-details/284149,Yariv,9789390421589,3rd ed.,2020
,Quantum Field Theory and the Standard Model,Cambridge University Press,"Mathematical Physics,Particle Physics and Quantum Field Theory,Physics and Astronomy",https://doi.org/10.1017/9781139540940,Schwartz,9781108985031,,2022
,Quantum Finance,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-32-9796-8,Raymond S. T. Lee,9789813297968,,2020
,"Quantum Gravity, Quantum Cosmology and Lorentzian Geometries Edition Number
1",Springer,Physics,http://dx.doi.org/10.1007/978-3-662-14495-4,Giampiero Esposito,9783662144954,12,1992
,"Quantum Gravity, Quantum Cosmology and Lorentzian Geometries Edition Number
2",Springer,Physics,http://dx.doi.org/10.1007/978-3-540-47295-7,Giampiero Esposito,9783540472957,12,1994
,Quantum Groups,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0101174,Petr P. Kulish,9783540466475,1510,1992
,Quantum Groups,Springer,Physics,http://dx.doi.org/10.1007/3-540-53503-9,"H. D. Doebner, J. D. Hennig",9783540466475,370,1990
,"Quantum Groups, Quantum Categories and Quantum Field Theory",Springer,Mathematics,http://dx.doi.org/10.1007/BFb0084244,"Jürg Fröhlich, Thomas Kerler",9783540476115,1542,1993
,Quantum Image Processing,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-32-9331-1,"Fei Yan, Salvador E. Venegas-Andraca",9789813293311,,2020
,Quantum Information in the Nanoelectronic World,Synthesis Collection of Technology (R0),Circuits and Systems,https://doi.org/10.1007/978-3-031-62925-9,David K. Ferry,9783031629259,,2025
