langcode,title,field_a2zpublisher,field_a2zsubject,field_a2zurl,field_author,field_isbn,field_vol,field_year
,Network Analysis,Pearson,Electrical Engineering,https://ebooks.elibrary.in.pearson.com/wr/launchbook.html?id=10032022,"Valkenburg, V.",9789353948016,3rd ed.,2013
,Network Analysis and Synthesis,McGraw Hill,Electrical Engineering,https://resolver.vitalsource.com/9789353166731/?brand=mcgrawhillindia.vitalsource.com  ,Singh,,2nd ed.,2019
,Network Analysis and Synthesis,McGraw Hill,Electrical Engineering,https://resolver.vitalsource.com/9781259081422/?brand=mcgrawhillindia.vitalsource.com  ,Ghosh,,,2009
,Network and Communication,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-15-4596-2, ,9789811545962,,2020
,Network and Operating System Support for Digital Audio and Video,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-58404-8,"Doug Shepherd, Gordon Blair, Geoff Coulson, Nigel Davies, Francisco Garcia",9783540472667,846,1994
,"Network and Operating System Support for Digital Audio and Video: Second International Workshop Heidelberg, Germany",Springer,Computer Science,http://dx.doi.org/10.1007/3-540-55639-7,R. G. Herrtwich,9783540472667,614,1992
,"Network and Operating System Support for Digital Audio and Video: Third International Workshop La Jolla, California, USA",Springer,Computer Science,http://dx.doi.org/10.1007/3-540-57183-3,P. Venkat Rangan,9783540479338,712,1993
,Network and Operating Systems Support for Digital Audio and Video,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0019246,"Thomas D. C. Little, Riccardo Gusella",9783540485247,1018,1995
,Network and System Security,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-65745-1,"Mirosław Kutyłowski, Jun Zhang, Chao Chen",9783030657451,,2020
,Network Connectivity,Synthesis Collection of Technology (R0),Artificial Intelligence,https://doi.org/10.1007/978-3-031-03766-5,"Chen Chen, Hanghang Tong",9783031037665,,2022
,Network Embedding,Synthesis Collection of Technology (R0),"Communication, Networking and Broadcast Technologies, Components, Circuits, Devices and Systems, Computing and Processing",https://doi.org/10.1007/978-3-031-01590-8,"Cheng Yang, Zhiyuan Liu, Cunchao Tu, Chuan Shi, Maosong Sun",9783031015908,,2021
,Network Games,Synthesis Collection of Technology (R0),"Communication, Networking and Broadcast Technologies",https://doi.org/10.1007/978-3-031-79248-9,"Asu Ozdaglar, Ishai Menache",9783031792489,,2011
,Network Management in Cloud and Edge Computing,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-15-0138-8,"Yuchao Zhang, Ke Xu",9789811501388,,2020
,"Network Security Essentials: Applications and Standards, Global Edition",Pearson Education,Computer Science/IT,https://ebookcentral.proquest.com/lib/iitdelhi/detail.action?docID=5186247,"Stallings, William",9781292154916,6th ed.,2017
,Network Simulation,Synthesis Collection of Technology (R0),"Communication, Networking and Broadcast Technologies",https://doi.org/10.1007/978-3-031-79977-8,"Richard M. Fujimoto, Kalyan S. Perumalla, George F. Riley",9783031799778,,2007
,Network Topology and Fault-Tolerant Consensus,Synthesis Collection of Technology (R0),"Communication, Networking and Broadcast Technologies, Components, Circuits, Devices and Systems, Computing and Processing",https://doi.org/10.1007/978-3-031-02014-8,"Dimitris Sakavalas, Lewis Tseng",9783031020148,,2019
,Network-Based Analysis of Dynamical Systems,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-36472-4,"Dániel Leitold, Ágnes Vathy-Fogarassy, János Abonyi",9783030364724,,2020
,Networked Life,Cambridge University Press,"Engineering,Computer Science, Communications and Signal Processing,Communications, Information Theory and Security",https://doi.org/10.1017/CBO9781139176200,Chiang,9781139176200,,2022
,Networking in Open Systems,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0026949,"Günter Müller, Robert P. Blanc",9783540477778,248,1987
,Networks,Oxford University Press ,"Computer science, Information science",https://doi.org/10.1093/oso/9780198805090.001.0001,Mark Newman,9780191843235,2nd ed.,2018
,Networks in Systems Biology,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-51862-2,"Fabricio Alves Barbosa da Silva, Nicolas Carels, Marcelo Trindade dos Santos, Francisco José Pereira Lopes",9783030518622,,2020
,Networks on Networks — The physics of geobiology and geochemistry,Institute of Physics Publishing ,"Physcis , Mathematics and computation",https://iopscience.iop.org/book/978-1-6817-4095-9,"Hunt, A G",9781681740317,,2015
,Neural Computing for Advanced Applications,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-15-7670-6,"Haijun Zhang, Zhao Zhang, Zhou Wu, Tianyong Hao",9789811576706,,2020
,Neural Information Processing,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-63820-7,"Haiqin Yang, Kitsuchart Pasupa, Andrew Chi-Sing Leung, James T. Kwok, Jonathan H. Chan, Irwin King",9783030638207,,2020
,Neural Information Processing,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-63823-8,"Haiqin Yang, Kitsuchart Pasupa, Andrew Chi-Sing Leung, James T. Kwok, Jonathan H. Chan, Irwin King",9783030638238,,2020
,Neural Information Processing,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-63830-6,"Haiqin Yang, Kitsuchart Pasupa, Andrew Chi-Sing Leung, James T. Kwok, Jonathan H. Chan, Irwin King",9783030638306,,2020
,Neural Information Processing,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-63836-8,"Haiqin Yang, Kitsuchart Pasupa, Andrew Chi-Sing Leung, James T. Kwok, Jonathan H. Chan, Irwin King",9783030638368,,2020
,Neural Information Processing,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-63833-7,"Haiqin Yang, Kitsuchart Pasupa, Andrew Chi-Sing Leung, James T. Kwok, Jonathan H. Chan, Irwin King",9783030638337,,2020
,Neural Interfacing,Synthesis Collection of Technology (R0),Bioengineering,https://doi.org/10.1007/978-3-031-01640-0,"Thomas D. Coates,Jr.",9783031016400,,2008
,Neural Network Methods for Natural Language Processing,Synthesis Collection of Technology (R0),"Computing and Processing, General Topics for Engineers",https://doi.org/10.1007/978-3-031-02165-7,Yoav Goldberg,9783031021657,,2017
,Neural Networks,SAGE Publications Ltd,Neural Networks,https://doi.org/10.4135/9781412985277,Herve Abdi; Dominique Valentin; Betty Edelman,9781412985277,,1998
,Neural Networks,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-52255-7,"Luis B. Almeida, Christian J. Wellekens",9783540469391,412,1990
,Neural Networks and Deep Learning,Springer Nature,Mathematics and Statistics,https://doi.org/10.1007/978-3-031-29642-0,Charu C. Aggarwal,9783031296420,,2023
,Neural Networks and Learning Algorithms in MATLAB,Synthesis Collection of Technology (R0),Artificial Intelligence,https://doi.org/10.1007/978-3-031-14571-1,Ardashir Mohammadazadeh... (et al.),9783031145711,,2022
,Neural Networks and Learning Machines,Pearson India, Neuralnetworks,https://ebookcentral.proquest.com/lib/iitdelhi/detail.action?docID=5126211,"Haykin, Simon",9788131740156,3rd ed.,2009
,NeurIPS '18 Competition,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-29135-8,"Sergio Escalera, Ralf Herbrich",9783030291358,,2020
,"Neuromorphic devices for brain-inspired computing artificial intelligence, perception, and robotics",Wiley,Biomedical Engineering,https://onlinelibrary.wiley.com/doi/book/10.1002/9783527835317,"Qing Wan, Yi Shi",9783527835317,,2022
,Neuromorphic Intelligence,Synthesis Collection of Technology (R0),Artificial Intelligence,https://doi.org/10.1007/978-3-031-57873-1,"Shuangming Yang, Badong Chen",9783031578731,,2024
,Neuropsychological Interpretation of Objective Psychological Tests,Springer US,"Psychiatry, Neurology, Clinical Psychology",http://link.springer.com/10.1007/b107998,"Golden, Charles J.",9780306471742,,2002
,Neutron Spin Echo,Springer,Physics,http://dx.doi.org/10.1007/3-540-10004-0,Ferenc Mezei,9783540393542,128,1980
,"Neutron Stars, Black Holes and Gravitational Waves",Institute of Physics Publishing ,"Physcis , Astronomy and astrophysics",https://iopscience.iop.org/book/978-1-64327-422-5,"Kolata, J J",9780750329804,,2019
,New Approaches in Social Research,SAGE Publications Ltd,"Social sciences, Methodology",https://doi.org/10.4135/9781849209519,Carol Grbich,9781849209519,,2004
,New Aspects of Galaxy Photometry,Springer,Physics,http://dx.doi.org/10.1007/BFb0030913,Jean-Luc Nieto,9783540395669,232,1985
,New Aspects of Magellanic Cloud Research,Springer,Physics,http://dx.doi.org/10.1007/3-540-56432-2,"Bodo Baschek, Gerhard Klare, James Lequeux",9783540475569,416,1993
,New Classes of $$ \mathcal{L}^P - spaces $$,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0096358,Jean Bourgain,9783540386117,889,1981
,New Concepts in Digital Reference,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02259-3,R. David Lankes,9783031022593,,2009
,"New Developments in Semiconductor Physics: Proceedings of the International Summer School Held in Szeged, Hungary ",Springer,Physics,http://dx.doi.org/10.1007/3-540-09988-3,"Ferenc Beleznay, György Ferenczi, János Giber",9783540392712,122,1980
,"New Developments in Semiconductor Physics: Proceedings of the Third Summer School Held at Szeged, Hungary",Springer,Physics,http://dx.doi.org/10.1007/BFb0034411,"G. Ferenczi, F. Beleznay",9783540391456,301,1988
,New Directions in Group Communication,SAGE Publications Ltd,"Social sciences,  Methodology",https://doi.org/10.4135/9781412990042,Lawrence R. Frey,9781412990042,,2001
,New Frontiers in Artificial Intelligence,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-58790-1,"Maki Sakamoto, Naoaki Okazaki, Koji Mineshima, Ken Satoh",9783030587901,,2020
,New Frontiers in Cryptography,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-58996-7,Khaled Salah Mohamed,9783030589967,,2020
,New Frontiers in Mining Complex Patterns,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-48861-1,"Michelangelo Ceci, Corrado Loglisci, Giuseppe Manco, Elio Masciari, Zbigniew Ras",9783030488611,,2020
,New Handbook of Organizational Communication,SAGE Publications Ltd,Communication in organizations,https://doi.org/10.4135/9781412986243,Linda L. Putnam; Fredric M. Jablin,9781412986243,,2005
,New Handbook of Teacher Evaluation,SAGE Publications Ltd,"Teachers, Rating of",https://doi.org/10.4135/9781412986250,Jason Millman; Linda Darling-Hammond,9781412986250,,1990
,New Insights into the Universe,Springer,Physics,http://dx.doi.org/10.1007/3-540-55842-X,"Vincent J. Martínez, Miquel Portilla, Diego Sáez",9783540472964,408,1992
,New Integrals,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0083092,"Peter S. Bullen, Peng Yee Lee, Jean L. Mawhin, Patrick Muldowney, Washek F. Pfeffer",9783540469551,1419,1990
,New Methods and Results in Non-linear Field Equations,Springer,Physics,http://dx.doi.org/10.1007/BFb0025757,"Philippe Blanchard, Joao-Paulo Dias, Joachim Stubbe",9783540468684,347,1989
,New Models for Population Protocols,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02004-9,"Othon Michail, Ioannis Chatzigiannakis, Paul G. Spirakis",9783031020049,,2011
,New Mythologies in Design and Culture,Bloomsbury Design Library,Communication in design,https://doi.org/10.5040/9781474277723?locatt=label:secondary_bloomsburyVisualArts,Rebecca Houze,9781474277723,,2016
,New Prospects of Integrating Low Substrate Temperatures with Scaling-Sustained Device Architectural Innovation,Synthesis Collection of Technology (R0),"Components, Circuits, Devices and Systems, Computing and Processing",https://doi.org/10.1007/978-3-031-02027-8,"Nabil Shovon Ashraf, Shawon Alam, Mohaiminul Alam",9783031020278,,2016
,New Results and New Trends in Computer Science,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0038178,Hermann Maurer,9783540464570,555,1991
,New Subaltern Politics: Reconceptualizing Hegemony and Resistance in Contemporary India,Oxford University Press,Social Movements and Social Change,https://doi.org/10.1093/acprof:oso/9780199457557.001.0001,"Alf Gunvald Nilsen (ed.), Srila Roy (ed.)",9780199085446,,2015
,New Theory of Additive Manufacturing,Synthesis Collection of Technology (R0),Circuits and Systems,https://doi.org/10.1007/978-3-031-75427-2,Sanjay Kumar,9783031754272,,2025
,New Trends in Databases and Information Systems,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-54623-6,"Jérôme Darmont, Boris Novikov, Robert Wrembel",9783030546236,,2020
,New Trends in Information and Communications Technology Applications,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-55340-1,"Abbas M. Al-Bakry, Safaa O. Al-Mamory, Mouayad A. Sahib, Haitham S. Hasan, George S. Oreku, Thaker M. Nayl, Jaafar A. Al-Dhaibani",9783030553401,,2020
,New Trends in Neural Computation,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-56798-4,"José Mira, Joan Cabestany, Alberto Prieto",9783540477419,686,1993
,New Typography in Scandinavia,Bloomsbury Design Library 2021 Collection,Printing -- Scandinavia,https://doi.org/10.5040/9781350112421?locatt=label:secondary_bloomsburyVisualArts,Trond Klevgaard,9781350112421,,2020
,NEWCAT: Parsing Natural Language Using Left-Associative Grammar,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-16781-1,Roland Hausser,9783540398622,231,1986
,Newton-Cauchy Framework,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-57671-1,J. L. Nazareth,9783540483106,769,1994
,Newtonian Mechanics,Synthesis Collection of Technology (R0),Physics,https://doi.org/10.1007/978-3-031-48699-9,Sujaul Chowdhury,9783031486999,,2024
,Next Generation Information System Technology,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-54141-1,"Joachim W. Schmidt, Anatoly A. Stogny",9783540474449,504,1991
,Next Great Globalization,Princeton University Press,"Political Economics , Political Economics",http://www.degruyter.com/isbn/9781400829446,"Mishkin, Frederic S.",9781400829446,,2006
,Next Steps With SPSS,SAGE Publications Ltd,SPSS (Computer file),https://doi.org/10.4135/9781412985284,Eric L. Einspruch,9781412985284,,2003
,Nilpotent Groups,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0080152,Robert B. Warfield,9783540382058,513,1976
,Nilpotent Lie Groups:,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0087594,Roe William Goodman,9783540375296,562,1976
,Ninth International Conference on Numerical Methods in Fluid Dynamics,Springer,Physics,http://dx.doi.org/10.1007/3-540-13917-6,"Soubbaramayer, J. P. Boujot",9783540391449,218,1985
,Nise's Control Systems Engineering,Wiley India,Engineering,https://ebooks.wileyindia.com/product-details/282307,Nise,9788126596027,7th ed.,2020
,Node Localization in Wireless Sensor Networks,Synthesis Collection of Technology (R0),"Communication, Networking and Broadcast Technologies, Computing and Processing, Components, Circuits, Devices and Systems",https://doi.org/10.1007/978-3-031-01683-7,"Xue Zhang, Cihan Tepedelenlioglu, Mahesh Banavar, Andreas Spanias",9783031016837,,2017
,Noise and Torsional Vibration Analysis of Hybrid Vehicles,Synthesis Collection of Technology (R0),"Transportation, Signal Processing and Analysis, Components, Circuits, Devices and Systems, Computing and Processing, Geoscience",https://doi.org/10.1007/978-3-031-01498-7,"Xiaolin Tang, Yanjun Huang, Hong Wang, Yechen Qin",9783031014987,,2019
,Noise Contamination in Nanoscale VLSI Circuits,Synthesis Collection of Technology (R0),Materials Science,https://doi.org/10.1007/978-3-031-12751-9,Selahattin Sayil,9783031127519,,2022
,Noise Pollution and Ergonomic Intervention by Acoustic Material,Synthesis Collection of Technology (R0),Materials Science,https://doi.org/10.1007/978-3-031-66308-6,"Suchismita Satapathy, Tushar Kanta Mahapatra, Noe Alba-Baena, Meghana Mishra",9783031663086,,2025
,Noise-Aware Quantum Circuit Simulation with Decision Diagrams,Synthesis Collection of Technology (R0),Circuits and Systems,https://doi.org/10.1007/978-3-031-71036-0,"Thomas Grurl, Jürgen Fuß, Robert Wille",9783031710360,,2025
,"Nombres de Pisot, Nombres de Salem et Analyse Harmonique",Springer,Mathematics,http://dx.doi.org/10.1007/BFb0069680,Yves Meyer,9783540362432,117,1970
,Nombres Transcendants,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0065320,Michel Waldschmidt,9783540378365,402,1974
,"Non Commutative Harmonic Analysis and Lie Groups: Actes du Colloque d'Analyse Harmonique Non Commutative, 16 au 20 juin 1980 Marseille-Luminy",Springer,Mathematics,http://dx.doi.org/10.1007/BFb0090400,"Jacques Carmona, Michèle Vergne",9783540387831,880,1981
,"Non Commutative Harmonic Analysis and Lie Groups: Proceedings of the International Conference Held in Marseille Luminy, 21–26 June, 1982",Springer,Mathematics,http://dx.doi.org/10.1007/BFb0071493,"Jaques Carmona, Michèle Vergne",9783540387008,1020,1983
,Non-Archimedean L-Functions of Siegel and Hilbert Modular Forms,Springer,Mathematics,http://dx.doi.org/10.1007/978-3-662-21541-8,Alexey A. Panchishkin,9783662215418,1471,1991
,Non-axisymmetric Local Stability Loss of a Hollow Cylinder,Synthesis Collection of Technology (R0),Solid Mechanics,https://doi.org/10.1007/978-3-031-43629-1,"Surkay D. Akbarov, Zafer Kutug, Muhammad Yousaf Anwar",9783031436291,,2024
,Non-Commutative Algebraic Geometry,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0091730,"Freddy M. J. Oystaeyen, Alain H. M. J. Verschoren",9783540386018,887,1981
,Non-Commutative Harmonic Analysis and Lie Groups,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0073014,"Jacques Carmona, Patrick Delorme, Michèle Vergne, M.I.T",9783540477754,1243,1987
,"Non-Commutative Harmonic Analysis: Actes du Colloque d’Analyse Harmonique Non Commutative, Marseille-Luminy, 1 au 5 Juillet 1974",Springer,Mathematics,http://dx.doi.org/10.1007/BFb0082191,"Jacques Carmona, Jaques Dixmier, Michèle Vergne",9783540375241,466,1975
,"Non-Commutative Harmonic Analysis: Actes du Colloque d'Analyse Harmonique Non-Commutative, Marseille-Luminy, 5 au 9 Juillet, 1976",Springer,Mathematics,http://dx.doi.org/10.1007/BFb0087912,"Jacques Carmona, Michèle Vergne",9783540373650,587,1977
,"Non-Commutative Harmonic Analysis: Proceedings, Marseille-Luminy, France, June 26 to 30, 1978 Actes du Colloque d'Analyse Harmonique Non Commutative",Springer,Mathematics,http://dx.doi.org/10.1007/BFb0063333,"Jacques Carmona, Michèle Vergne",9783540351313,728,1979
,Noncommutative Noetherian Rings,American Mathematical Society,Mathematics,https://www.ams.org/books/gsm/030/,J. C. McConnell; J. C. Robson,9781470420840, ,2001
,Noncommutative Ring Theory,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0080303,"Jonh Henry Cozzens, Francis Louis Sandomierski",9783540379836,545,1976
,Non-Commutative Ring Theory,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0091244,"Surender Kumar Jain, Sergio R. López-Permouth",9783540467458,1448,1990
,Non-complete Algebraic Surfaces,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0090459,Masayoshi Miyanishi,9783540386605,857,1981
,Nonequilibrium Problems in Many-Particle Systems,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0090926,"Leif Arkeryd, Pierre-Louis Lions, Peter A. Markowich, Srinivasa R. S. Varadhan",9783540478324,1551,1993
,Non-Equilibrium Relativistic Kinetic Theory,Springer,Physics,http://dx.doi.org/10.1007/BFb0025374,John M. Stewart,9783540369400,10,1971
,Non-Finiteness,Cambridge University Press,"Area Studies, Language and Linguistics",https://doi.org/10.1017/9781009072502,Yang,9781009072502,,2009
,Non-Homogeneous Media and Vibration Theory,Springer,Physics,http://dx.doi.org/10.1007/3-540-10000-8,Enrique Sanchez-Palencia,9783540393177,127,1980
,Nonimaging Optics in Solar Energy,Synthesis Collection of Technology (R0),General Topics for Engineers,https://doi.org/10.1007/978-3-031-79420-9,Joseph O'Gallagher,9783031794209,,2008
,Non-Invasive Monitoring of Multiphase Flows,Academic Press,Chemical Engineering,https://www.sciencedirect.com/science/book/9780444825216,"Chaouki, J./Larachi, F./Dudukovic, M.P.",,,Pre 2007
,Nonlinear Analysis and Optimization,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0101489,Calogero Vinti,9783540391234,1107,1984
,Nonlinear Coherent Structures,Springer,Physics,http://dx.doi.org/10.1007/BFb0033622,"M. Barthes, J. Léon",9783540469377,353,1990
,Nonlinear Coherent Structures in Physics and Biology,Springer,Physics,http://dx.doi.org/10.1007/3-540-54890-4,"M. Remoissenet, M. Peyrand",9783540464587,393,1991
,Nonlinear Diffusion Problems,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0072686,"Antonio Fasano, Mario Primicerio",9783540473527,1224,1986
,Nonlinear Dynamics — A hands-on introductory survey,Institute of Physics Publishing ,"Physcis , Mathematics and computation",https://iopscience.iop.org/book/978-1-64327-464-5,"Roussel, M R",9781643274614,,2019
,Nonlinear Dynamics of Surface-Tension-Driven Instabilities - with a Foreword by I.Prigogine,Wiley,"Physical Sciences & Engineering, Physics",https://onlinelibrary.wiley.com/doi/book/10.1002/3527603115,Colinet,9783527603114,,1995
,Non-Linear Equations in Classical and Quantum Field Theory,Springer,Physics,http://dx.doi.org/10.1007/3-540-15213-X,N. Sanchez,9783540393528,226,1985
,Nonlinear Evolution Equations — Global Behavior of Solutions,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0089606,Alain Haraux,9783540385349,841,1981
,Nonlinear Evolution Equations and Dynamical Systems,Springer,Physics,http://dx.doi.org/10.1007/3-540-09971-9,"M. Boiti, F. Pempinelli, G. Soliani",9783540391975,120,1980
,Nonlinear Evolution Operators and Semigroups,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0077768,Nicolae H. Pavel,9783540471868,1260,1987
,Nonlinear Filtering and Stochastic Control,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0064858,"Sanjoy K. Mitter, Antonio Moro",9783540394310,972,1982
