langcode,title,field_a2zpublisher,field_a2zsubject,field_a2zurl,field_author,field_isbn,field_vol,field_year
,Biologically Inspired Design,Synthesis Collection of Technology (R0),"Bioengineering, Communication, Networking and Broadcast Technologies, Components, Circuits, Devices and Systems, Computing and Processing, Robotics and Control Systems, Signal Processing and Analysis",https://doi.org/10.1007/978-3-031-02091-9,"Torben A. Lenau, Akhlesh Lakhtakia",9783031020919,,2021
,Biology For Engineers,McGraw Hill,Core Engineering,https://resolver.vitalsource.com/9789354600371/?brand=mcgrawhillindia.vitalsource.com  ,Mallick,,,2021
,Biomass to Renewable Energy Processes,CRC Press,Biotechnology,http://www.taylorfrancis.com/books/Biotechnology,"Cheng, J.",9781315152868,2nd ed.,2009
,Biomedical Engineering for Global Health,Cambridge University Press,"Medicine,Engineering, Medicine: General Interest,Biomedical Engineering",https://doi.org/10.1017/CBO9780511802744,Richards-Kortum,9780511802744,,2012
,Biomedical Engineering Systems and Technologies,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-46970-2,"Ana Roque, Arkadiusz Tomczyk, Elisabetta De Maria, Felix Putze, Roman Moucek, Ana Fred, Hugo Gamboa",9783030469702,,2020
,Biomedical Image Analysis : Segmentation,Synthesis Collection of Technology (R0),Signal Processing and Analysis,https://doi.org/10.1007/978-3-031-02245-6,"Scott Acton, Nilanjan Ray",9783031022456,,2009
,Biomedical Image Analysis : Tracking,Synthesis Collection of Technology (R0),Signal Processing and Analysis,https://doi.org/10.1007/978-3-031-02237-1,"Scott T. Acton, Nilanjan Ray",9783031022371,,2006
,Biomedical Image Registration,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-50120-4,"Žiga Špiclin, Jamie McClelland, Jan Kybic, Orcun Goksel",9783030501204,,2020
,Biomedical Imaging : Applications and Advances,Woodhead Publishing,Materials Science ,https://www.sciencedirect.com/science/book/9780857091277,"Morris, P.",,,2014
,Biomedical Signals and Systems,Synthesis Collection of Technology (R0),"Bioengineering, Computing and Processing, Components, Circuits, Devices and Systems, Signal Processing and Analysis",https://doi.org/10.1007/978-3-031-01659-2,Joseph V. Tranquillo,9783031016592,,2014
,Biomedical Technology Assessment,Synthesis Collection of Technology (R0),Bioengineering,https://doi.org/10.1007/978-3-031-01641-7,Phillip Weinfurt,9783031016417,,2010
,BioMedical Visualization,Synthesis Collection of Technology (R0),Biology,https://doi.org/10.1007/978-3-031-66789-3,"Katarína Furmanová, Barbora Kozlíková, Thomas Höllt, M. Eduard Gröller, Bernhard Preim, Renata Georgia Raidou",9783031667893,,2025
,Biomimetic and Biohybrid Systems,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-64313-3,"Vasiliki Vouloutsi, Anna Mura, Falk Tauber, Thomas Speck, Tony J. Prescott, Paul F. M. J. Verschure",9783030643133,,2020
,Biomolecular Feedback Systems,Princeton University Press,"Life Sciences, other , Life Sciences, other",http://www.degruyter.com/isbn/9781400850501,"Murray, Richard M. / Del Vecchio, Domitilla",9781400850501,,2015
,BioNanotechnology,Synthesis Collection of Technology (R0),Bioengineering,https://doi.org/10.1007/978-3-031-01618-9,"Elisabeth S. Papazoglou, Aravind Parthasarathy",9783031016189,,2007
,Biophotonics: Vibrational Spectroscopic Diagnostics,Institute of Physics Publishing ,"Physcis , Biomedical engineering",https://iopscience.iop.org/book/978-1-6817-4071-3,"Baker, M J",9781681740072,,2015
,Biophysical Chemistry,Taylor & Francis,"Bioscience, Physical Sciences, Biochemistry, Biology, Physics",www.taylorfrancis.com/books/9781315156910,"Klostermeier , Dagmar",9781315156910,,2017
,Biophysics of the Senses,Institute of Physics Publishing ,"Physcis , Biomedical engineering",https://iopscience.iop.org/book/978-1-6817-4111-6,"Presley, T D",9780750328470,,2016
,Bioprocess Engineering Principles,Academic Press,Engineering and Computing ,https://www.sciencedirect.com/science/book/9780128221914,"Ross Carlson, Pauline M. Doran",,3rd ed.,2024
,Bioreactors,Taylor & Francis,"Bioscience, Engineering & Technology, Biotechnology, Pharmaceutical Science, Chemical Engineering",www.taylorfrancis.com/books/9781315116266,"Saha , Goutam",9781315116266,,2018
,Biorefinery Of Inorganics - Recovering Mineral Nutrients From Biomass and Organic Waste,Wiley,Chemistry,https://onlinelibrary.wiley.com/doi/book/10.1002/9781118921487,Meers,9781118921487,,2020
,"Bioseparations Engineering - Principles, Practice and Economics",Wiley India,Engineering,https://ebooks.wileyindia.com/product-details/407767,Ladisch,9789354645747,,2023
,Bioseparations: Principles and Techniques,PHI,Civil Engineering,https://elibrary.phindia.com/ebooks/reader/9789390464241,"Sivasankar, B.",9789390464241,,2019
,"Biosystems Approach to Industrial Patient Monitoring and Diagnostic Devices, A",Synthesis Collection of Technology (R0),Bioengineering,https://doi.org/10.1007/978-3-031-01625-7,Gail Baura,9783031016257,,2008
,Biotechnology of Ethanol - Classical and   Future Applications,Wiley,"Life Sciences, Cell & Molecular Biology",https://onlinelibrary.wiley.com/doi/book/10.1002/3527602348,Roehr,9783527602346,,2001
,Birth of the Universe and Fundamental Physics,Springer,Physics,http://dx.doi.org/10.1007/3-540-60024-8,Franco Occhionero,9783540494065,455,1995
,Bite-Sized Operations Management,Synthesis Collection of Technology (R0),Operations Research,https://doi.org/10.1007/978-3-031-02493-1,Mark S. Daskin,9783031024931,,2021
,Bitext Alignment,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02142-8,Jörg Tiedemann,9783031021428,,2011
,BL Lac Objects,Springer,Physics,http://dx.doi.org/10.1007/BFb0031137,"L. Maraschi, T. Maccacaro, M. -H. Ulrich",9783540462033,334,1989
,Black Silicon,Synthesis Collection of Technology (R0),"Materials Science, Semiconductor",https://doi.org/10.1007/978-3-031-48687-6,Gagik Ayvazyan,9783031486876,,2024
,Blackwell Companion to the Sociology of Families,Wiley,"Social & Behavioral Sciences, Sociology",https://onlinelibrary.wiley.com/doi/book/10.1002/9780470999004,Scott,9780470999004,,2003
,Blended Learning. Education in a Smart Learning Environment,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-51968-1,"Simon K. S. Cheung, Richard Li, Kongkiti Phusavat, Naraphorn Paoprasert, Lam‑For Kwok",9783030519681,,2020
,Blending Qualitative and Quantitative Research Methods in Theses and Dissertations,SAGE Publications Ltd,Dissertations,https://doi.org/10.4135/9781412983525,R. Murray Thomas,9781412983525,,2003
,"Block Copolymers: Synthetic Strategies, Physical  Properties, and Applications",Wiley,"Physical Sciences & Engineering, Materials Science",https://onlinelibrary.wiley.com/doi/book/10.1002/0471269808,Hadjichristidis,9780471269809,,2002
,Block Transceivers,Synthesis Collection of Technology (R0),"Communication, Networking and Broadcast Technologies",https://doi.org/10.1007/978-3-031-01677-6,"Paulo Diniz, Wallace Martins, Markus Lima",9783031016776,,2012
,Blockchain – ICBC 2020,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-59638-5,"Zhixiong Chen, Laizhong Cui, Balaji Palanisamy, Liang-Jie Zhang",9783030596385,,2020
,Blockchain and Trustworthy Systems,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-15-2777-7,"Zibin Zheng, Hong-Ning Dai, Mingdong Tang, Xiangping Chen",9789811527777,,2020
,Blockchain and Trustworthy Systems,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-15-9213-3,"Zibin Zheng, Hong-Ning Dai, Xiaodong Fu, Benhui Chen",9789811592133,,2020
,"Blockchain Cybersecurity, Trust and Privacy",Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-38181-3,"Kim-Kwang Raymond Choo, Ali Dehghantanha, Reza M. Parizi",9783030381813,,2020
,Blockchain Platforms,Synthesis Collection of Technology (R0),"Computing and Processing, General Topics for Engineers",https://doi.org/10.1007/978-3-031-01804-6,Stijn Van Hijfte,9783031018046,,2020
,Blockchain Technology,Wiley India,Engineering,https://ebooks.wileyindia.com/product-details/282539,"Kumar Saurabh, Ashutosh Saxena",9788126590124,,2020
,Blockchain Technology and Application,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-15-3278-8,"Xueming Si, Hai Jin, Yi Sun, Jianming Zhu, Liehuang Zhu, Xianhua Song, Zeguang Lu",9789811532788,,2020
,Blockchain: Empowering Secure Data Sharing,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-15-5939-6,"Meng Shen, Liehuang Zhu, Ke Xu",9789811559396,,2020
,Blockchain: Technology and Applications,McGraw Hill,Computer Science,https://resolver.vitalsource.com/9789355326263,Amit Dua,,,2025
,Blockchains,Synthesis Collection of Technology (R0),"Database System, Cryptography",https://doi.org/10.1007/978-3-031-13979-6,"Pingcheng Ruan, Tien Tuan Anh Dinh, Dumitrel Loghin, Meihui Zhang, Gang Chen",9783031139796,,2022
,Blocks and Chains,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02352-1,"Aljosha Judmayer, Nicholas Stifter, Katharina Krombholz, Edgar Weippl",9783031023521,,2017
,Blocks of Tame Representation Type and Related Algebras,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0084003,Karin Erdmann,9783540471158,1428,1990
,Bloomsbury Encyclopedia of Design (3V. Set),Bloomsbury Design Library,"Design,  Encyclopedias",https://doi.org/10.5040/9781350056909?locatt=label:secondary_bloomsburyVisualArts,Clive Edwards,9781350056909,,2015
,Blossoming Development of Splines,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-79516-9,Stephen Mann,9783031795169,,2006
,Body Area Networks. Smart IoT and Big Data for Intelligent Health,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-64991-3,"Muhammad Mahtab Alam, Matti Hämäläinen, Lorenzo Mucchi, Imran Khan Niazi, Yannick Le Moullec",9783030649913,,2020
,Body Language,SAGE,"South Asia Studies, Business & Management",https://evidya.sagepub.in/library/body-language?bookId=2970&siteName=evidya,Hedwig Lewis,,,2017
,Body Tracking in Healthcare,Synthesis Collection of Technology (R0),"Bioengineering, Communication, Networking and Broadcast Technologies, Components, Circuits, Devices and Systems, Computing and Processing",https://doi.org/10.1007/978-3-031-01600-4,"Kenton O'Hara, Cecily Morrison, Abigail Sellen, Nadia Bianchi-Berthouze, Cathy Craig",9783031016004,,2016
,"Bodyspace: Anthropometry, Ergonomics and the Design of Work",CRC Press,Ergonomics,http://www.taylorfrancis.com/books/Ergonomics,"Pheasant, S. & Haslegrave, C.M.",9781315375212,3rd ed.,2018
,Boolean Calculus of Differences,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-10286-8,André Thayse,9783540384212,101,1981
,Boolean Differential Calculus,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-79892-4,"Bernd Steinbach, Christian Posthoff",9783031798924,,2017
,Boolean Differential Equations,Synthesis Collection of Technology (R0),General Topics for Engineers,https://doi.org/10.1007/978-3-031-79861-0,"Bernd Steinbach, Christian Posthoff",9783031798610,,2013
,Boond Boond Me Sagar,SAGE,"Social Work & Social Policy, Youth Work",https://evidya.sagepub.in/library/boond-boond-me-sagar?bookId=3392&siteName=evidya,Ashraf Patel,,,2017
,Boosting Collaborative Networks 4.0,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-62412-5,"Luis M. Camarinha-Matos, Hamideh Afsarmanesh, Angel Ortiz",9783030624125,,2020
,Boosting-Based Face Detection and Adaptation,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-01809-1,"Cha Zhang, Zhengyou Zhang",9783031018091,,2010
,Bootstrapping,SAGE Publications Ltd,Bootstrapping,https://doi.org/10.4135/9781412983532,Christopher Z. Mooney; Robert D. Duval,9781412983532,,1993
,Bordism of Diffeomorphisms and Related Topics,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0101007,Matthias Kreck,9783540389125,1069,1984
,Bose Algebras: The Complex and Real Wave Representations,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0098303,Torben T. Nielsen,9783540473671,1472,1991
,Bose Bandhu aur bhartiya Swatantrata,SAGE,Political Science & International Relations,https://evidya.sagepub.in/library/bose-bandhu-aur-bhartiya-swatantrata?bookId=3434&siteName=evidya,Madhuri Bose,,,2017
,Boundaries of the Mind,Cambridge University Press,"Philosophy,Life Sciences, Philosophy of Science,Cognitive Psychology",https://doi.org/10.1017/CBO9780511606847,Wilson,9780511606847,,2009
,Boundary Theory for Symmetric Markov Processes,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0081336,Martin L. Silverstein,9783540382225,516,1976
,Boundary Value Problems : Advanced Fractional Dynamic Equations on Time Scales,Synthesis Collection of Technology (R0),"Mathematics, Analysis",https://doi.org/10.1007/978-3-031-38200-0,Svetlin Georgiev,9783031382000,,2024
,Boundary Value Problems : Essential Fractional Dynamic Equations on Time Scales,Synthesis Collection of Technology (R0),"Mathematics, Analysis",https://doi.org/10.1007/978-3-031-38196-6,Svetlin Georgiev,9783031381966,,2024
,Boundary Value Problems and Markov Processes,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0092029,Kazuaki Taira,9783540466352,1499,1991
,Bounded Incremental Computation,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0028290,G. Ramalingam,9783540684589,1089,1996
,Boundedly Controlled Topology,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0079806,"Douglas R. Anderson, Hans J. Munkholm",9783540392491,1323,1988
,Boyce's Elementary Differential Equations and Boundary Value Problems,Wiley India,Sciences,https://ebooks.wileyindia.com/product-details/282421,Boyce,9788126577514,,2020
,Brain Function Assessment in Learning,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-60735-7,"Claude Frasson, Panagiotis Bamidis, Panagiotis Vlamos",9783030607357,,2020
,Brain Informatics,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-59277-6,"Mufti Mahmud, Stefano Vassanelli, M. Shamim Kaiser, Ning Zhong",9783030592776,,2020
,Brain–Computer Interface Research,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-49583-1,"Christoph Guger, Brendan Z. Allison, Kai Miller",9783030495831,,2020
,Brain–Computer Interfaces,Synthesis Collection of Technology (R0),Bioinformatics,https://doi.org/10.1007/978-3-031-01608-0,"Cesar Marquez-Chin, Naaz Kapadia-Desai, Sukhvinder Kalsi-Ryan",9783031016080,,2021
,"Brainlesion: Glioma, Multiple Sclerosis, Stroke and Traumatic Brain Injuries",Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-46640-4,"Alessandro Crimi, Spyridon Bakas",9783030466404,,2020
,"Brainlesion: Glioma, Multiple Sclerosis, Stroke and Traumatic Brain Injuries",Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-46643-5,"Alessandro Crimi, Spyridon Bakas",9783030466435,,2020
,Brain-Machine Interface Engineering,Synthesis Collection of Technology (R0),Topics,https://doi.org/10.1007/978-3-031-01621-9,"Justin C. Sanchez, José C. Príncipe",9783031016219,,2007
,Brauer Groups,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0077328,Daniel Zelinsky,9783540379782,549,1976
,Brauer Groups in Ring Theory and Algebraic Geometry,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0092224,"Freddy M. J. Oystaeyen, Alain H. M. J. Verschoren",9783540390572,917,1982
,Breaking Down Barriers,Springer Nature,Engineering,https://link.springer.com/openurl?genre=book&isbn=978-3-319-75028-6,"Pat Langdon, Jonathan Lazar, Ann Heylighen, Hua Dong",9783319750286,,2018
,Bridging the Gap Between Engineering and the Global World,Synthesis Collection of Technology (R0),Bioinformatics,https://doi.org/10.1007/978-3-031-79943-3,"Shobha K. Bhatia, Jennifer L. Smith",9783031799433,,2008
,Brief History of Analysis,Springer Nature,Mathematics and Statistics,https://doi.org/10.1007/978-3-031-00650-0,Detlef D. Spalt,9783031006500,,2022
,Bringing Telecommunication Services to the People — IS&N '95,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0016951,"Anne Clarke, Mario Campolargo, Nikos Karatzas",9783540476184,998,1995
,British Design,Bloomsbury Design Library,"Design, Social aspects",https://doi.org/10.5040/9781474256209?locatt=label:secondary_bloomsburyVisualArts,"Christopher Breward, Fiona Fisher and Ghislaine Wood",9781474256209,,2015
,British Social Attitudes,SAGE Publications Ltd,Social Attitudes,https://doi.org/10.4135/9781849208628,Katarina Thomson; Alison Park; Lindsey Jarvis; Catherine Bromley; John Curtice,9781849208628,,2004
,British Social Attitudes,SAGE Publications Ltd,Social Attitudes,https://doi.org/10.4135/9781849208635,Roger Jowell; Katarina Thomson; Alison Park; Lindsey Jarvis; Catherine Bromley; Nina Stratford; John Curtice,9781849208635,,2001
,British Social Attitudes,SAGE Publications Ltd,Social Attitudes,https://doi.org/10.4135/9781849208642,Katarina Thomson; Alison Park; Lindsey Jarvis; Catherine Bromley; Nina Stratford; John Curtice,9781849208642,,2002
,British Social Attitudes,SAGE Publications Ltd,Social Attitudes,https://doi.org/10.4135/9781849208659,Katarina Thomson; Alison Park; Lindsey Jarvis; Catherine Bromley; John Curtice,9781849208659,,2003
,British Social Attitudes,SAGE Publications Ltd,Social Attitudes,https://doi.org/10.4135/9781849208666,Katarina Thomson; Alison Park; Catherine Bromley; John Curtice; Miranda Phillips,9781849208666,,2005
,British Social Attitudes,SAGE Publications Ltd,Social Attitudes,https://doi.org/10.4135/9781849208673,Alison Park,9781849208673,,2006
,British Social Attitudes,SAGE Publications Ltd,Social Attitudes,https://doi.org/10.4135/9781849208680,Alison Park,9781849208680,,2007
,British Social Attitudes,SAGE Publications Ltd,Attitude (Psychology),https://doi.org/10.4135/9781849208697,Katarina Thomson; Alison Park; John Curtice; Miranda Phillips; Mark Johnson; Elizabeth Clery,9781849208697,,2008
,British Social Attitudes,SAGE Publications Ltd,Attitude (Psychology),https://doi.org/10.4135/9780857024350,Katarina Thomson; Alison Park; John Curtice; Miranda Phillips; Elizabeth Clery,9780857024350,,2009
,British Social Attitudes,SAGE Publications Ltd,Attitude (Psychology),https://doi.org/10.4135/9781446212073,Katarina Thomson; Alison Park; John Curtice; Miranda Phillips; Elizabeth Clery; Sarah Butt,9781446212073,,2010
,British Social Attitudes,SAGE Publications Ltd,Attitude,https://doi.org/10.4135/9781446268254,Alison Park; John Curtice; Elizabeth Clery; Caroline Bryson,9781446268254,,2011
,British Social Attitudes 28,SAGE Publications Ltd,Attitude (Psychology),https://doi.org/10.4135/9781446268292,Alison Park; John Curtice; Elizabeth Clery; Miranda Phillips; David Utting,9781446268292,,2012
,"British Women and Cultural Practices of Empire, 1770-1940",Bloomsbury Design Library 2020 Collection,Women consumers,https://doi.org/10.5040/9781501332180?locatt=label:secondary_bloomsburyVisualArts,Rosie Dias and Kate Smith (eds),9781501332180,,2018
,"Broadband Communications Networks, Services, Applications, Future Directions",Springer,Computer Science,http://dx.doi.org/10.1007/BFb0022212,Bernhard Plattner,9783540496694,1044,1996
,Broadband Network Traffic,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-61815-5,"James Roberts, Ugo Mocci, Jorma Virtamo",9783540706847,1155,1996
,Broadband Quantum Cryptography,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02513-6,Daniel Rogers,9783031025136,,2010
,Buckling and Post-Buckling,Springer,Physics,http://dx.doi.org/10.1007/BFb0009196,"Johann Arbocz, Michel Potier-Ferry, Josef Singer, Viggo Tvergaard",9783540478751,288,1987
,Building a Better World with Our Information,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02295-1,William Jones,9783031022951,,2015
,Building and Using Comparable Corpora for Multilingual Natural Language Processing,Synthesis Collection of Technology (R0),"Artificial Intelligence, NLP, Machine Learning",https://doi.org/10.1007/978-3-031-31384-4,"Serge Sharoff, Reinhard Rapp, Pierre Zweigenbaum",9783031313844,,2023
,Building Decision Support Systems,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-41732-1,Mark Wallace,9783030417321,,2020
,Building Evaluation Capacity,SAGE Publications Ltd,Evaluation Capacity,https://doi.org/10.4135/9781412983549,Darlene Russ-Eft; Hallie Preskill,9781412983549,,2004
,Building Networks,SAGE Publications Ltd,Building Networks,https://doi.org/10.4135/9781849208703,Debbie Epstein; Rebecca Boden; Jane Kenway,9781849208703,,2007
,Building SPSS Graphs to Understand Data,SAGE Publications Ltd,SPSS ,https://doi.org/10.4135/9781452270036,James O. Aldrich; Hilda M. Rodriguez,9781452270036,,2013
,Building Tightly Integrated Software Development Environments: The IPSEN Approach,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0035684,Manfred Nagl,9783540495789,1170,1996
,Building Your Academic Career,SAGE Publications Ltd,Academic Career,https://doi.org/10.4135/9781849208710,Debbie Epstein; Rebecca Boden; Jane Kenway,9781849208710,,2007
,Buildings and the Geometry of Diagrams,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0075511,Luigi A. Rosati,9783540398011,1181,1986
,Buildings of Spherical Type and Finite BN-Pairs,Springer,Mathematics,http://dx.doi.org/10.1007/978-3-540-38349-9,Jacques Tits,9783540383499,386,1974
,Bundles of Topological Vector Spaces and Their Duality,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0068863,Gerhard Gierz,9783540394372,955,1982
,Burnside Groups,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0091265,Jens L. Mennicke,9783540381204,806,1980
,Business Analysis: Microsoft Excel 2010,Pearson India,Business/Management,https://ebookcentral.proquest.com/lib/iitdelhi/detail.action?docID=5125764,Carlberg,9788131747650,,2010
,Business Analytics,Pearson,Business & Economics,https://admin.elibrary.in.pearson.com/api/1.0/org/10032022/launchlibrary,Evans,9780135231715,3rd ed.,2021
,Business Information Systems,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-53337-3,"Witold Abramowicz, Gary Klein",9783030533373,,2020
,Business Information Systems Workshops,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-61146-0,"Witold Abramowicz, Gary Klein",9783030611460,,2020
,"Business Intelligence and Analytics: Systems for Decision Support, Global Edition",Pearson Education,"Business/Management, Engineering, Computer Science/IT, General",https://ebookcentral.proquest.com/lib/iitdelhi/detail.action?docID=5174161,"Turban, Efraim;Sharda, Ramesh;Delen, Dursun",9781292009261,10th ed.,2014
,Business Intelligence Roadmap: The Complete Project Lifecycle for Decision-Support Applications,Pearson India,"Business intelligence, Decision support systems",https://ebookcentral.proquest.com/lib/iitdelhi/detail.action?docID=5126699,Moss; Atre,9788131751244,,2003
,Business Mathematics and Statistics,McGraw Hill,Operations&DecisionSciences,https://resolver.vitalsource.com/9781259050596/?brand=mcgrawhillindia.vitalsource.com  ,Das,,,2011
,Business Model Innovation: A Blueprint for Strategic Change,Cambridge University Press,"Entrepreneurship and Innovation, Management",https://doi.org/10.1017/9781009181709,Velu,9781009181709,,2024
,Business Modeling and Software Design,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-52306-0,Boris Shishkov,9783030523060,,2020
,Business Process Management,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-58666-9,"Dirk Fahland, Chiara Ghidini, Jörg Becker, Marlon Dumas",9783030586669,,2020
,Business Process Management Forum,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-58638-6,"Dirk Fahland, Chiara Ghidini, Jörg Becker, Marlon Dumas",9783030586386,,2020
,Business Process Management Workshops,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-66498-5,"Adela Del Río Ortega, Henrik Leopold, Flávia Maria Santoro",9783030664985,,2020
,Business Process Management: Blockchain and Robotic Process Automation Forum,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-58779-6,"Aleksandre Asatiani, José María García, Nina Helander, Andrés Jiménez-Ramírez, Agnes Koschmider, Jan Mendling, Giovanni Meroni, Hajo A. Reijers",9783030587796,,2020
,Business Processes,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-01891-6,"Tova Milo, Daniel Deutsch",9783031018916,,2012
,Business Statistics using Python,McGraw Hill,Management,https://resolver.vitalsource.com/9789355327819,Amit Sachan,,,2024
,Business Statistics: A First Course,Pearson,Business & Economics,https://admin.elibrary.in.pearson.com/api/1.0/org/10032022/launchlibrary,Levine,9789356061149,8th ed.,2022
,C Programming and Numerical Analysis,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-79605-0,Seiichi Nomura,9783031796050,,2018
,C*-Algebras and Applications to Physics,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0067386,"Huzihiro Araki, Richard V. Kadison",9783540358503,650,1978
,C*-Algebras and Finite-Dimensional Approximations,American Mathematical Society,Mathematics,https://www.ams.org/books/gsm/088/,Nathanial P. Brown; Narutaka Ozawa,9781470421182, ,2008
,C++ programming language,Pearson,STEM,https://ebooks.elibrary.in.pearson.com/wr/launchbook.html?id=10032022,Bjarne Stroustrup,9780133522853,4th ed.,2022
,CAAP '81,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-10828-9,"Egidio Astesiano, Corrado Böhm",9783540387169,112,1981
,CAAP '86,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0022653,Paul Franchi-Zannettacci,9783540397830,214,1986
,CAAP '88,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0026091,"M. Dauchet, M. Nivat",9783540389309,299,1988
